PM2.5,PM10,NO2,SO2,O3,Temperature,Humidity,Industrial_Proximity,Population_Density,Risk_Score,Disease_Risk
39.51,69.18,15.38,1.5,31.56,18.25,49.09,1,11828.45,54.02,Moderate
19.68,36.64,17.14,4.85,39.77,12.7,61.86,0,19159.76,27.29,Low
37.9,92.05,11.24,43.33,34.59,33.3,54.69,0,18956.82,39.68,Low
39.41,75.38,59.8,30.11,50.34,18.69,55.16,0,18876.72,52.44,Moderate
19.14,46.69,7.63,13.99,54.8,6.95,48.08,0,6531.16,30.52,Low
93.55,134.19,82.19,1.98,32.59,25.02,62.58,0,15638.43,78.96,Moderate
44.12,94.49,23.45,10.28,79.99,23.48,63.33,0,19583.23,43.92,Low
15.38,34.7,18.55,12.72,28.59,24.38,38.52,0,14266.41,19.63,Low
53.16,110.73,11.26,6.21,40.36,24.37,54.21,1,19584.95,60.68,Moderate
58.75,116.85,12.3,31.55,7.55,14.94,51.55,0,21432.88,47.81,Low
42.49,82.19,15.31,17.75,37.91,21.01,64.15,0,4760.31,37.37,Low
27.38,63.49,142.21,3.08,35.93,35.39,68.57,0,8005.35,69.06,Moderate
18.54,42.04,15.28,3.59,39.01,33.55,70.85,0,15232.09,24.74,Low
30.83,41.89,36.21,10.29,59.54,21.46,54.45,0,7597.12,36.13,Low
40.63,93.58,21.32,0.51,73.59,30.85,68.03,0,23563.94,42.34,Low
32.79,56.99,86.68,13.24,62.16,25.93,37.49,0,5256.29,52.82,Moderate
76.32,116.75,30.06,6.96,37.95,21.7,79.98,1,9245.23,77.36,Moderate
48.36,112.72,8.96,9.58,43.94,37.47,49.58,1,24860.5,64.89,Moderate
17.01,29.97,17.53,5.44,70.46,16.05,39.79,0,5134.95,27.12,Low
14.13,31.8,108.32,30.9,19.98,28.07,49.67,0,11496.03,47.94,Low
44.36,68.42,45.52,23.23,55.7,8.37,81.7,1,8187.67,74.45,Moderate
27.81,33.52,24.73,17.61,22.24,28.61,69.52,0,20340.08,27.68,Low
50.95,93.96,11.71,3.82,62.86,18.4,86.86,0,7951.61,43.26,Low
44.11,58.68,12.88,19.41,37.32,21.18,64.52,0,4455.01,34.96,Low
30.92,67.42,10.17,14.76,22.41,22.09,80.36,0,23361.81,27.33,Low
17.16,26.75,5.88,60.5,26.85,2.81,54.63,0,8276.36,31.13,Low
9.21,16.37,43.52,1.93,30.02,8.86,40.39,1,18672.81,49.64,Low
37.46,49.19,38.22,8.93,59.06,33.3,65.49,0,7618.91,42.32,Low
12.02,18.91,28.37,5.53,66.79,26.05,61.12,0,4875.25,22.97,Low
16.63,36.85,65.3,15.18,31.96,39.58,67.51,0,20159.1,41.93,Low
36.01,50.31,42.44,1.63,22.55,11.32,72.48,0,1861.76,41.43,Low
33.8,69.0,7.15,20.61,80.6,33.51,66.03,0,8633.33,36.94,Low
13.23,31.66,25.56,1.61,56.38,29.61,58.58,1,19612.0,44.23,Low
62.76,130.77,47.23,15.4,24.49,36.65,59.26,1,13047.37,82.16,Moderate
61.76,139.23,25.74,7.74,47.19,23.92,67.22,0,17394.56,52.38,Moderate
45.25,60.71,27.61,4.37,31.75,26.15,38.05,1,2137.01,56.64,Moderate
45.22,69.0,5.72,3.12,14.3,16.23,49.47,0,18870.34,32.83,Low
45.25,106.92,15.7,5.46,33.8,22.29,91.48,0,4712.54,38.78,Low
58.44,124.46,36.41,8.02,12.59,20.09,52.84,0,20313.25,51.26,Moderate
49.11,99.76,22.74,10.9,30.39,11.75,70.16,0,14322.28,47.2,Low
18.25,37.64,6.61,12.23,32.26,26.36,54.09,1,18609.46,38.18,Low
27.55,47.89,46.74,9.07,29.21,34.42,56.93,0,5714.4,38.37,Low
115.07,144.76,21.96,7.47,58.22,36.8,27.42,0,10187.92,79.56,Moderate
6.25,13.87,27.3,37.81,48.09,16.89,69.36,0,20150.7,24.72,Low
23.15,48.21,7.23,19.52,27.22,24.64,51.95,1,22814.71,41.11,Low
62.96,114.25,5.02,6.21,46.45,23.65,29.53,1,6051.02,64.05,Moderate
19.13,45.32,28.43,9.93,66.12,39.75,38.94,0,19938.14,35.69,Low
49.93,81.74,59.92,4.54,23.4,42.86,61.64,0,3159.6,57.85,Moderate
33.52,53.04,45.76,8.05,13.72,11.95,49.69,1,10930.84,61.14,Moderate
20.13,47.0,41.3,2.25,18.31,29.86,47.81,0,23498.63,29.63,Low
5.16,11.53,30.29,11.73,47.53,30.31,53.52,0,23655.84,20.89,Low
36.79,68.78,8.53,47.68,69.8,22.99,13.0,0,7768.71,36.9,Low
17.95,24.6,2.76,12.37,56.96,12.37,35.78,0,5226.38,23.72,Low
30.03,44.44,118.09,12.33,65.7,32.05,69.6,0,4162.42,63.21,Moderate
44.97,92.33,21.87,9.07,5.0,37.16,67.73,1,12281.44,61.27,Moderate
55.61,94.56,16.08,2.94,23.33,19.53,68.4,0,2755.88,41.88,Low
23.1,52.84,26.92,40.62,17.64,36.96,69.12,0,9242.9,34.41,Low
20.1,48.95,11.22,13.54,51.17,25.04,66.56,0,916.77,22.79,Low
11.85,26.64,17.68,17.57,36.01,39.22,81.58,0,6855.25,25.18,Low
57.27,96.83,80.88,7.45,5.0,39.2,69.02,1,22556.78,85.2,Moderate
105.48,234.73,33.06,18.05,55.19,24.76,60.55,0,11450.97,83.03,Moderate
61.04,101.14,38.84,40.42,63.36,29.17,83.1,0,2306.76,58.65,Moderate
69.27,98.17,23.43,30.65,80.19,17.98,68.02,0,16347.5,59.15,Moderate
19.25,23.93,54.76,29.15,43.3,8.76,68.61,1,23913.02,61.88,Moderate
43.32,73.7,53.77,1.06,52.38,27.51,52.48,1,11853.49,67.42,Moderate
52.78,125.33,21.42,8.0,17.17,10.34,60.48,0,15795.05,49.92,Low
0.61,0.92,25.66,2.97,7.17,45.93,42.89,1,23025.74,39.52,Low
14.72,21.62,61.01,13.04,64.87,36.38,37.28,0,10767.94,39.84,Low
83.51,205.49,26.83,21.14,50.94,23.48,34.23,0,16782.38,69.97,Moderate
10.05,12.38,19.48,5.16,64.97,51.67,56.69,0,11297.25,31.45,Low
75.84,168.48,20.61,0.61,34.89,18.7,80.53,1,24072.21,80.07,Moderate
9.99,16.16,17.58,20.56,87.4,21.08,66.52,1,12843.14,43.64,Low
15.29,19.09,26.58,3.75,46.26,20.95,73.01,0,22198.5,23.02,Low
43.81,104.84,18.05,5.36,24.93,24.36,47.01,1,12926.36,56.77,Moderate
34.07,47.06,26.53,5.05,33.64,21.9,64.54,0,16875.46,31.71,Low
24.71,47.38,14.25,6.98,7.92,29.57,90.49,0,9960.47,22.67,Low
81.6,126.99,33.55,9.16,21.15,15.01,71.98,0,22980.1,63.43,Moderate
12.11,15.56,37.17,10.22,32.26,26.28,54.39,1,16350.08,42.44,Low
29.26,37.01,41.85,4.36,71.0,19.57,34.6,0,987.85,38.21,Low
47.3,63.86,37.66,5.87,38.68,25.63,40.3,1,883.21,61.37,Moderate
39.11,50.56,51.93,17.27,61.69,14.17,69.85,1,17066.35,69.59,Moderate
20.6,45.09,28.17,16.79,38.0,16.35,63.31,0,3299.59,31.0,Low
21.15,38.72,26.35,3.39,19.48,46.25,86.95,0,18046.03,33.15,Low
55.1,90.68,15.88,24.88,50.91,15.79,60.97,0,8389.41,48.06,Low
56.68,98.85,44.65,7.34,23.1,30.23,37.73,1,13703.53,71.61,Moderate
39.77,95.75,16.74,5.13,32.06,19.63,56.59,0,4772.79,36.91,Low
17.42,41.52,4.82,2.11,80.63,14.83,60.64,0,6532.43,25.92,Low
21.63,46.09,15.25,2.65,52.09,25.64,54.22,0,11204.48,23.63,Low
32.04,75.3,47.03,5.01,23.59,16.31,59.95,0,16804.2,41.66,Low
35.16,56.8,40.68,29.15,54.64,30.18,65.59,0,4315.43,42.92,Low
46.14,78.22,31.04,5.0,21.24,23.75,29.6,1,7391.44,58.84,Moderate
28.24,56.41,102.86,18.16,5.0,38.36,49.93,0,5570.58,56.79,Moderate
54.34,109.27,33.67,13.7,61.85,11.94,78.93,0,21635.52,56.85,Moderate
53.97,98.57,13.18,25.19,45.9,27.76,84.19,0,16376.16,43.89,Low
70.69,121.64,12.18,3.11,36.06,28.7,40.85,1,11978.15,69.86,Moderate
32.97,81.82,37.62,17.43,6.69,15.03,40.88,0,23700.1,40.05,Low
40.2,91.14,67.28,24.89,33.69,18.36,71.45,1,18527.74,74.56,Moderate
29.71,52.45,26.09,28.35,43.84,10.77,90.4,0,23339.54,39.29,Low
17.57,37.71,34.41,7.94,16.69,9.4,63.3,0,15141.03,31.39,Low
104.05,161.32,35.71,5.2,40.85,23.81,61.63,1,3882.39,93.66,High
65.36,86.95,105.44,34.82,71.01,33.07,49.37,1,17047.96,101.09,High
53.3,88.38,49.9,9.7,44.53,23.68,75.19,1,5436.53,71.21,Moderate
32.23,55.56,58.39,2.19,51.69,24.1,55.46,0,8976.23,41.8,Low
16.44,20.08,12.72,12.62,31.2,12.02,83.55,0,12985.64,23.28,Low
59.13,133.6,16.69,8.03,18.98,3.98,65.41,0,4355.47,55.23,Moderate
29.36,48.94,15.64,5.03,28.77,28.42,63.89,0,1009.14,26.42,Low
42.5,83.06,21.76,9.82,61.1,18.39,47.67,0,8513.61,42.23,Low
21.57,27.96,27.64,8.09,38.05,6.99,48.2,0,20695.74,33.34,Low
38.21,54.55,32.7,2.07,35.96,19.56,50.73,0,876.81,37.07,Low
22.54,53.12,24.71,11.9,29.89,27.49,58.61,0,3181.13,27.17,Low
23.17,46.14,15.35,3.93,14.57,29.03,76.58,0,20267.94,22.35,Low
37.9,92.29,10.5,9.1,67.35,26.99,72.33,1,7993.37,56.18,Moderate
9.87,24.65,35.16,38.31,35.84,18.04,52.95,0,23486.23,27.85,Low
10.28,17.3,42.71,29.72,29.37,30.94,28.62,0,9815.98,27.53,Low
19.08,30.3,22.5,39.23,41.59,24.8,49.13,1,20019.25,45.6,Low
28.01,64.87,5.7,26.04,29.41,16.24,62.3,0,6840.35,29.33,Low
55.35,138.28,49.55,5.21,46.26,13.83,63.47,0,2014.87,61.57,Moderate
29.1,58.73,21.77,64.06,26.31,26.96,87.5,1,22098.08,54.06,Moderate
32.09,71.69,7.8,3.01,42.47,33.69,81.46,0,23218.76,31.24,Low
26.53,58.81,25.84,25.12,38.95,30.94,71.91,1,17848.44,53.62,Moderate
40.16,66.74,51.89,2.66,77.11,26.63,50.26,1,19366.66,67.1,Moderate
17.44,33.95,18.85,4.74,78.21,31.33,64.23,0,674.63,27.49,Low
30.16,68.85,1.83,21.57,55.75,48.71,67.7,0,18968.68,39.09,Low
42.2,88.39,20.89,12.28,38.23,27.88,79.77,0,12068.81,38.48,Low
37.7,46.28,14.71,4.1,56.06,26.57,45.16,0,11593.37,30.93,Low
32.78,53.68,29.45,11.4,55.42,30.45,73.37,0,13731.71,36.72,Low
33.04,45.86,26.3,12.09,30.6,32.5,68.93,0,7144.65,33.71,Low
44.78,67.3,17.57,11.44,7.01,11.64,52.37,1,17559.07,58.44,Moderate
106.99,254.33,16.71,35.14,5.0,26.77,79.56,0,7741.93,78.14,Moderate
18.33,22.88,62.38,3.45,37.62,35.04,31.55,0,14185.86,37.46,Low
108.79,161.63,37.47,7.7,29.9,42.46,92.59,1,3854.72,103.41,High
17.72,28.4,36.63,0.88,29.12,25.2,79.75,1,17039.35,44.02,Low
4.54,9.1,47.63,11.55,23.91,20.46,57.09,0,5145.51,22.83,Low
22.22,42.09,21.63,21.42,23.04,26.65,53.66,1,4675.14,44.85,Low
40.64,60.31,73.59,25.41,53.1,18.56,59.48,0,1094.94,55.44,Moderate
94.02,132.89,32.94,2.15,5.0,40.69,48.72,0,3483.75,69.34,Moderate
16.43,24.77,28.39,13.93,51.77,29.81,56.61,0,6197.97,26.54,Low
44.62,82.69,32.64,28.99,34.48,24.47,72.31,0,5946.58,42.52,Low
11.2,17.38,20.84,5.13,68.81,36.14,49.38,0,8527.95,25.43,Low
92.03,223.8,15.3,77.36,45.33,13.47,74.1,0,1833.2,81.82,Moderate
66.12,119.21,55.32,16.59,5.34,4.28,56.29,0,23412.35,67.51,Moderate
23.2,29.62,9.67,0.3,5.0,29.22,76.4,0,3419.81,17.78,Low
72.49,155.72,10.44,8.84,17.15,35.74,80.44,0,17698.12,55.67,Moderate
30.04,48.88,24.01,7.58,45.29,23.58,45.01,1,13609.29,50.11,Moderate
68.21,139.79,12.83,9.82,5.74,18.21,28.35,0,14043.33,50.06,Moderate
32.62,50.99,5.71,34.28,42.21,15.43,62.48,0,3085.16,32.29,Low
33.55,65.15,10.12,17.03,54.05,12.66,63.85,1,6458.77,56.25,Moderate
23.54,51.88,13.15,2.55,29.44,31.65,41.65,1,19607.09,45.07,Low
48.28,116.19,34.0,13.99,22.24,33.18,85.02,0,11860.32,48.85,Low
35.23,54.23,22.62,24.09,5.0,34.18,54.57,0,11698.16,33.8,Low
45.23,73.97,49.08,0.6,70.2,25.07,69.59,1,13874.84,67.33,Moderate
9.03,16.29,9.62,4.65,76.54,13.44,49.01,0,11128.24,22.03,Low
69.66,167.55,11.17,19.69,64.4,17.85,37.61,0,20250.33,59.95,Moderate
80.19,190.19,30.37,43.44,34.47,30.99,77.52,0,18843.28,70.99,Moderate
35.12,46.25,14.76,2.39,38.93,14.63,46.11,0,8266.6,32.42,Low
102.54,140.63,20.01,21.66,53.71,23.98,71.79,1,20395.99,89.13,Moderate
88.7,163.59,10.24,34.6,42.93,14.83,47.59,1,13205.86,87.75,Moderate
48.93,65.5,9.61,6.09,5.0,18.03,56.7,0,15879.55,33.6,Low
73.05,120.48,14.3,23.37,58.36,13.48,57.61,1,21721.31,79.49,Moderate
61.92,86.25,51.05,7.68,64.38,25.16,59.61,0,12161.83,56.0,Moderate
7.08,14.35,7.62,10.45,61.44,10.37,50.36,0,19028.38,21.06,Low
26.91,65.5,55.1,15.2,49.05,17.4,70.8,0,15888.14,44.07,Low
51.06,127.42,47.81,31.47,59.16,33.51,74.14,0,10955.25,60.83,Moderate
83.35,140.68,17.53,53.63,11.74,35.49,78.32,0,19831.68,64.45,Moderate
10.56,20.89,26.23,7.04,38.13,31.71,53.3,1,3076.4,42.05,Low
7.53,17.42,32.17,3.71,26.63,39.15,43.22,0,14739.9,24.52,Low
31.29,42.32,41.18,30.48,69.03,11.8,63.21,1,1637.06,65.65,Moderate
4.89,10.25,11.16,21.82,43.68,24.09,65.56,0,4326.14,13.34,Low
30.57,52.93,44.54,16.69,36.82,25.75,65.64,0,15172.4,36.61,Low
41.28,60.61,27.82,24.81,19.64,44.52,83.0,1,8036.36,65.12,Moderate
15.85,27.32,11.89,7.82,18.81,22.63,61.66,0,6930.64,16.49,Low
31.14,40.44,28.04,16.86,17.43,33.01,91.48,0,23918.05,32.35,Low
58.48,123.04,11.78,36.54,54.9,41.94,73.19,0,9464.69,56.84,Moderate
22.14,33.85,25.54,6.16,51.96,26.3,73.66,0,14336.17,26.37,Low
17.95,28.8,18.17,23.45,45.0,20.31,61.31,0,13589.09,24.7,Low
30.19,40.99,29.15,8.82,55.82,21.17,55.33,0,2019.45,33.3,Low
14.58,33.89,30.39,29.5,23.89,7.89,50.84,0,17019.76,32.24,Low
98.04,180.54,60.18,34.08,5.0,20.41,62.75,0,13066.08,81.53,Moderate
33.28,64.7,39.55,10.74,53.67,10.79,73.14,1,9844.72,65.2,Moderate
19.37,37.58,34.83,14.78,38.87,32.82,57.05,1,2117.41,51.23,Moderate
37.46,64.94,5.37,5.11,56.66,9.38,54.44,0,7678.84,37.08,Low
30.08,43.63,49.94,18.15,48.52,28.92,44.53,1,22160.34,60.01,Moderate
27.86,60.42,18.78,2.28,38.53,36.38,67.68,1,4755.93,52.59,Moderate
22.14,30.22,10.25,17.93,44.11,32.29,43.97,0,5873.67,24.8,Low
21.37,28.53,92.18,20.56,68.18,20.17,65.97,0,5529.7,50.34,Moderate
9.21,19.56,14.75,14.07,34.2,32.64,64.25,0,22324.72,18.71,Low
72.99,107.4,64.54,5.61,54.74,25.1,57.92,1,17649.89,85.38,Moderate
46.96,75.09,32.46,33.55,46.18,20.43,78.08,0,22105.16,46.29,Low
39.87,72.47,37.63,5.56,6.51,21.37,83.85,0,22886.79,37.51,Low
29.76,53.09,25.7,38.29,13.72,29.43,28.4,0,23235.2,32.34,Low
15.64,33.17,12.18,13.76,39.21,9.43,37.69,1,12400.03,46.3,Low
18.5,37.19,42.78,54.22,30.05,19.96,68.77,0,12167.48,34.9,Low
10.13,20.63,30.82,25.97,21.0,28.75,85.4,0,20808.61,21.93,Low
20.21,43.02,30.5,5.89,61.41,19.87,39.57,1,8632.2,50.83,Moderate
13.99,22.11,27.42,20.55,10.09,12.08,66.32,1,1044.17,45.56,Low
85.8,138.91,21.28,24.18,36.03,16.09,33.82,1,8622.92,85.07,Moderate
56.11,99.28,42.99,15.02,22.52,26.72,32.21,1,18050.58,69.88,Moderate
34.24,54.77,36.93,11.86,69.66,29.83,91.03,1,3528.54,60.82,Moderate
16.95,42.05,46.31,35.06,90.35,35.85,65.83,1,19727.13,62.84,Moderate
14.56,32.87,22.02,5.01,33.78,32.81,36.94,1,20479.12,43.5,Low
28.48,40.27,20.67,13.39,56.97,32.69,56.76,1,2972.35,52.5,Moderate
57.54,69.46,16.91,114.01,65.4,5.78,48.29,0,2897.06,62.58,Moderate
10.37,13.02,28.0,13.75,57.97,32.53,53.59,0,5370.9,24.78,Low
46.58,70.68,5.64,13.38,55.82,19.83,55.3,0,9231.54,36.9,Low
20.15,27.17,121.67,2.55,5.0,10.58,63.17,0,13551.97,55.24,Moderate
22.89,43.33,15.52,33.63,63.53,30.58,66.74,1,12395.78,50.65,Moderate
33.58,77.76,58.81,30.27,47.19,26.79,49.71,0,21402.63,47.49,Low
17.39,37.52,18.45,8.92,35.42,33.85,48.94,1,3984.68,45.1,Low
27.5,40.71,39.16,34.74,38.44,19.66,66.07,1,17590.53,56.81,Moderate
16.3,28.02,77.8,8.02,45.16,24.94,50.24,0,13947.72,38.01,Low
21.36,39.73,37.66,8.78,34.92,6.99,50.12,0,18552.21,37.19,Low
52.19,117.61,74.87,13.59,32.9,44.61,61.58,0,8877.69,69.56,Moderate
34.74,79.59,56.51,5.64,20.45,11.62,60.46,0,12048.8,48.11,Low
52.07,124.07,11.47,6.79,50.2,16.9,53.34,0,1200.53,46.43,Low
19.96,37.16,43.25,21.86,36.77,14.69,75.78,0,3344.59,35.69,Low
46.8,98.39,33.61,2.5,24.14,27.07,67.41,1,9687.39,62.34,Moderate
8.18,11.01,14.49,13.72,41.96,16.52,90.27,0,12290.74,18.53,Low
33.57,64.96,53.28,21.09,40.86,35.78,56.27,0,2600.8,47.5,Low
48.74,74.24,9.34,19.0,50.12,28.15,70.58,0,20712.21,38.21,Low
7.89,13.89,50.98,33.51,39.4,10.1,81.87,0,23678.28,34.58,Low
20.13,40.74,43.64,2.98,52.34,32.8,46.6,0,15111.74,34.65,Low
33.56,51.48,28.43,1.21,34.54,34.12,54.62,0,1808.35,35.23,Low
60.17,76.28,16.15,6.53,35.98,17.71,78.39,0,18601.24,44.43,Low
21.35,25.91,42.83,44.42,45.55,13.56,70.1,1,5820.51,58.7,Moderate
45.66,56.1,4.0,10.32,47.74,28.99,59.66,1,18474.47,52.87,Moderate
75.85,91.84,13.7,22.15,64.23,31.59,39.28,0,11141.48,55.57,Moderate
46.98,63.11,26.0,21.11,60.95,14.97,40.53,1,1808.95,66.13,Moderate
28.22,42.65,28.45,6.26,39.13,34.24,53.2,0,7329.35,33.24,Low
41.4,61.59,13.99,3.02,11.8,19.26,47.96,1,10962.23,51.27,Moderate
20.91,51.9,14.29,7.5,53.68,36.83,48.31,0,18538.13,29.87,Low
34.45,55.04,38.5,17.56,50.56,9.2,32.51,0,3760.2,45.55,Low
29.18,39.85,11.76,12.94,44.34,17.67,39.65,0,7531.54,28.58,Low
40.54,77.4,19.73,14.27,55.46,22.92,46.78,1,2546.66,57.89,Moderate
